cityName,airportCode,countryCode,longitude,NoTraffic,airportName,countryName,Closed,latitude,departures,previous_week_dep_percent_change,reference_week_dep_percent_change,date
Fujairah,OMFJ,ARE,56.32416667,FALSE,Fujairah Intl,UAE,FALSE,25.11222222,1,,0,12/04/2020
Maputo,FQMA,MOZ,32.57263889,FALSE,Maputo,Mozambique,FALSE,-25.92083333,1,-66.66666667,-97.6744186,12/04/2020
Lucknow,VILK,IND,80.88333333,FALSE,Chaudhary Charan Singh,India,FALSE,26.76194444,1,0,-97.82608696,12/04/2020
Perth,YPPH,AUS,115.9669444,TRUE,Perth Intl,Australia,FALSE,-31.94027778,18,-33.33333333,-91.13300493,12/04/2020
Maldonado,SULS,URY,-55.09805556,FALSE,Capitan Curbelo Intl,Uruguay,FALSE,-34.85722222,2,,0,12/04/2020
Canouan,TVSC,VCT,-61.34506667,FALSE,Canouan,St Vincent,FALSE,12.70079722,2,,0,12/04/2020
Araxos,LGRX,GRC,21.42555556,FALSE,Araxos,Greece,FALSE,38.15111111,3,,0,12/04/2020
Nanning,ZGNN,CHN,108.1733333,FALSE,Wuxu,China,FALSE,22.61,1,0,-98.94736842,12/04/2020
Kavala,LGKV,GRC,24.61972222,TRUE,Megas Alexandros,Greece,FALSE,40.91388889,10,,0,12/04/2020
Lagos,DNMM,NGA,3.322527778,FALSE,Murtala Muhammed,Nigeria,FALSE,6.578644444,6,-25,-95.91836735,12/04/2020
Freeport,MYGF,BHS,-78.69555278,FALSE,Grand Bahama Intl,Bahamas,FALSE,26.55868611,7,75,-80,12/04/2020
Valencia,LEVC,ESP,-0.481666667,FALSE,Manises,Spain,FALSE,39.48944444,2,-71.42857143,-99.51807229,12/04/2020
Manchester,KMHT,USA,-71.43575,FALSE,Manchester,USA,FALSE,42.93280556,2,,0,12/04/2020
Harlingen,KHRL,USA,-97.65513889,FALSE,Valley Intl,USA,FALSE,26.22711111,5,0,-44.44444444,12/04/2020
Salvador,SBSV,BRA,-38.3225,TRUE,Dep. L. E. Magalhaes Intl,Brazil,FALSE,-12.90861111,25,,0,12/04/2020
Trondheim,ENVA,NOR,10.92416667,FALSE,Vaernes,Norway,FALSE,63.4575,1,0,-98.8372093,12/04/2020
Bucharest,LRBS,ROU,26.10361111,FALSE,Baneasa-Aurel Vlaicu,Romania,FALSE,44.50361111,1,,0,12/04/2020
Rijeka,LDRI,HRV,14.57026667,TRUE,Krk Island,Croatia,FALSE,45.21688889,13,,0,12/04/2020
Rennes,LFRN,FRA,-1.732222222,TRUE,St Jacques,France,FALSE,48.07194444,15,,0,12/04/2020
Philadelphia,KPHL,USA,-75.24086389,TRUE,Philadelphia Intl,USA,FALSE,39.87224722,32,-45.76271186,-91.46666667,12/04/2020
Lanzhou,ZLLL,CHN,103.6216667,FALSE,Zhongchuan,China,FALSE,36.51666667,6,,0,12/04/2020
Kuala Lumpur,WMKK,MYS,101.6980556,TRUE,Kuala Lumpur Intl - Sepang,Malaysia,FALSE,2.743333333,91,-27.2,-96.47832817,12/04/2020
Turku,EFTU,FIN,22.26166667,FALSE,Turku,Finland,FALSE,60.51472222,1,0,-97.5,12/04/2020
Iasi,LRIA,ROU,27.62083333,FALSE,Iasi,Romania,FALSE,47.18027778,2,-81.81818182,-94.73684211,12/04/2020
Chania,LGSA,GRC,24.15111111,TRUE,Ioannis Daskalogiannis,Greece,FALSE,35.53138889,107,,0,12/04/2020
Monterey,KMRY,USA,-121.8427806,FALSE,Monterey Regional,USA,FALSE,36.58695,1,,0,12/04/2020
London,EGSS,GBR,0.235,TRUE,Stansted,UK,FALSE,51.885,19,-53.65853659,-98.83435583,12/04/2020
Edmonton,CYEG,CAN,-113.5794944,TRUE,Edmonton Intl,Canada,FALSE,53.30988333,15,-31.81818182,-87.39495798,12/04/2020
Ostrava,LKMT,CZE,18.11083333,FALSE,Mosnov,Czech,FALSE,49.69611111,5,,0,12/04/2020
Norwich,EGSH,GBR,1.282777778,TRUE,Norwich,UK,FALSE,52.67583333,52,,0,12/04/2020
Jeju,RKPC,KOR,126.4927778,FALSE,Jeju Intl,Korea,FALSE,33.51222222,1,0,-99.45652174,12/04/2020
Madison,KMSN,USA,-89.33750278,FALSE,Dane Co Regl-Truax,USA,FALSE,43.13987778,2,,0,12/04/2020
Leon,MMLO,MEX,-101.4809639,TRUE,De Guanajuato Intl,Mexico,FALSE,20.99330556,13,-43.47826087,-83.95061728,12/04/2020
Gaya,VEGY,IND,84.9425,FALSE,Gaya,India,TRUE,24.74805556,7,,0,12/04/2020
Prestwick,EGPK,GBR,-4.594444444,FALSE,Prestwick,UK,FALSE,55.50944444,2,-33.33333333,-96.36363636,12/04/2020
